SKU,Tên,Hãng,Nhóm,Series,KíchThước,PN,VậtLiệu,Giá,LinkẢnh,GhiChú
RF-ELASTOMERJAWCOUPLI-22,TNB BHDD,Ringfeder Germany,Khớp nối linh hoạt,Elastomer Jaw Couplings TNB,,,,,,
RF-ELASTOMERJAWCOUPLI-23,TNB BHDDV,Ringfeder Germany,Khớp nối linh hoạt,Elastomer Jaw Couplings TNB,,,,,,
RF-ELASTOMERJAWCOUPLI-24,TNB BHDDVV,Ringfeder Germany,Khớp nối linh hoạt,Elastomer Jaw Couplings TNB,,,,,,
RF-ELASTOMERJAWCOUPLI-25,ECE 6118,Ringfeder Germany,Khớp nối linh hoạt,Elastomer Jaw Couplings ECE,,,,,,
RF-ELASTOMERJAWCOUPLI-26,ECE 6418,Ringfeder Germany,Khớp nối linh hoạt,Elastomer Jaw Couplings ECE,,,,,,
RF-TORSIONALHIGHFLEXC,TNR 2424.1,Ringfeder Germany,Khớp nối linh hoạt,Torsional Highflex Couplings TNR,,,,,,
RF-TORSIONALHIGHFLEXC-2,TNR 2424.2,Ringfeder Germany,Khớp nối linh hoạt,Torsional Highflex Couplings TNR,,,,,,
RF-TORSIONALHIGHFLEXC-3,TNR 2425.1,Ringfeder Germany,Khớp nối linh hoạt,Torsional Highflex Couplings TNR,,,,,,
RF-TORSIONALHIGHFLEXC-4,TNR 2425.2,Ringfeder Germany,Khớp nối linh hoạt,Torsional Highflex Couplings TNR,,,,,,
RF-TORSIONALHIGHFLEXC-5,TNR 2428.1,Ringfeder Germany,Khớp nối linh hoạt,Torsional Highflex Couplings TNR,,,,,,
RF-TORSIONALHIGHFLEXC-6,TNR 2428.2,Ringfeder Germany,Khớp nối linh hoạt,Torsional Highflex Couplings TNR,,,,,,
RF-PINBUSHCOUPLINGS,RLB,Ringfeder Germany,Khớp nối bulong đai ốc,Pin & Bush Couplings,,,,,,
RF-PINBUSHCOUPLINGS-2,RLP,Ringfeder Germany,Khớp nối bulong đai ốc,Pin & Bush Couplings,,,,,,
RF-PINBUSHCOUPLINGS-3,TNF 5571,Ringfeder Germany,Khớp nối bulong đai ốc,Pin & Bush Couplings,,,,,,
RF-TYRECOUPLINGS,RLT,Ringfeder Germany,Khớp nối bánh xe,Tyre Couplings,,,,,,
RF-TYRECOUPLINGS-2,RLU,Ringfeder Germany,Khớp nối bánh xe,Tyre Couplings,,,,,,
RF-SAFETYCOUPLINGSTNT,TNT 2420,Ringfeder Germany,Khớp nối bảo vệ quá tải,Safety Couplings TNT,,,,,,
RF-SAFETYCOUPLINGSTNT-2,TNT 2424,Ringfeder Germany,Khớp nối bảo vệ quá tải,Safety Couplings TNT,,,,,,
RF-SAFETYCOUPLINGSTNT-3,TNT 2425,Ringfeder Germany,Khớp nối bảo vệ quá tải,Safety Couplings TNT,,,,,,
RF-METALBELLOWSCOUPLI,GWB AK,Ringfeder Germany,Khớp nối encoder,Metal Bellows Couplings GWB,,,,,,
RF-METALBELLOWSCOUPLI-2,GWB AKD,Ringfeder Germany,Khớp nối encoder,Metal Bellows Couplings GWB,,,,,,
RF-METALBELLOWSCOUPLI-3,GWB AKN,Ringfeder Germany,Khớp nối encoder,Metal Bellows Couplings GWB,,,,,,
RF-METALBELLOWSCOUPLI-4,GWB CKN,Ringfeder Germany,Khớp nối encoder,Metal Bellows Couplings GWB,,,,,,
RF-METALBELLOWSCOUPLI-5,GWB DKN,Ringfeder Germany,Khớp nối encoder,Metal Bellows Couplings GWB,,,,,,
RF-METALBELLOWSCOUPLI-6,GWB EKN,Ringfeder Germany,Khớp nối encoder,Metal Bellows Couplings GWB,,,,,,
RF-METALBELLOWSCOUPLI-7,GWB PKA,Ringfeder Germany,Khớp nối encoder,Metal Bellows Couplings GWB,,,,,,
RF-METALBELLOWSCOUPLI-8,GWB Z5106,Ringfeder Germany,Khớp nối encoder,Metal Bellows Couplings GWB,,,,,,
RF-GEARCOUPLINGSTNZ,ECT 6418,Ringfeder Germany,Khớp nối răng,Gear Couplings TNZ,,,,,,
RF-GEARCOUPLINGSTNZ-2,TNZ ZCA / ZCB,Ringfeder Germany,Khớp nối răng,Gear Couplings TNZ,,,,,,
RF-GEARCOUPLINGSTNZ-3,TNZ ZCAU / ZCBU,Ringfeder Germany,Khớp nối răng,Gear Couplings TNZ,,,,,,
RF-GEARCOUPLINGSTNZ-4,TNZ ZCAUU / ZCBUU,Ringfeder Germany,Khớp nối răng,Gear Couplings TNZ,,,,,,
RF-GEARCOUPLINGSTNZ-5,TNZ ZCAF / ZCBF,Ringfeder Germany,Khớp nối răng,Gear Couplings TNZ,,,,,,
RF-GEARCOUPLINGSTNZ-6,TNZ ZCAK / ZCBK,Ringfeder Germany,Khớp nối răng,Gear Couplings TNZ,,,,,,
RF-GEARCOUPLINGSTNZ-7,TNZ ZCAV / ZCBV,Ringfeder Germany,Khớp nối răng,Gear Couplings TNZ,,,,,,
RF-GEARCOUPLINGSTNZ-8,TNZ ZCAZ / ZCBZ,Ringfeder Germany,Khớp nối răng,Gear Couplings TNZ,,,,,,
RF-GEARCOUPLINGSTNZ-9,TNZ ZCH,Ringfeder Germany,Khớp nối răng,Gear Couplings TNZ,,,,,,
RF-GEARCOUPLINGSTNZ-10,TNZ ZCA-BS / ZCB-BS,Ringfeder Germany,Khớp nối răng,Gear Couplings TNZ,,,,,,
RF-GEARCOUPLINGSTNZ-11,TNZ ZCA-BT / ZCB-BT,Ringfeder Germany,Khớp nối răng,Gear Couplings TNZ,,,,,,
RF-GEARCOUPLINGSTNZ-12,TNZ ZCHU,Ringfeder Germany,Khớp nối răng,Gear Couplings TNZ,,,,,,
RF-GEARCOUPLINGSTNZ-13,TNZ ZCHUU,Ringfeder Germany,Khớp nối răng,Gear Couplings TNZ,,,,,,
RF-DISCCOUPLINGSTND,TND HSH,Ringfeder Germany,Khớp nối đĩa,Disc Couplings TND,,,,,,
RF-DISCCOUPLINGSTND-2,TND HDH,Ringfeder Germany,Khớp nối đĩa,Disc Couplings TND,,,,,,
RF-DISCCOUPLINGSTND-3,TND HDV,Ringfeder Germany,Khớp nối đĩa,Disc Couplings TND,,,,,,
RF-DISCCOUPLINGSTND-4,TND VDV,Ringfeder Germany,Khớp nối đĩa,Disc Couplings TND,,,,,,
RF-DISCCOUPLINGSTND-5,TND QCO,Ringfeder Germany,Khớp nối đĩa,Disc Couplings TND,,,,,,
RF-DISCCOUPLINGSTND-6,TND XSX,Ringfeder Germany,Khớp nối đĩa,Disc Couplings TND,,,,,,
RF-DISCCOUPLINGSTND-7,TND XDX,Ringfeder Germany,Khớp nối đĩa,Disc Couplings TND,,,,,,
RF-DISCCOUPLINGSTND-8,TND QCQ,Ringfeder Germany,Khớp nối đĩa,Disc Couplings TND,,,,,,
RF-BACKLASHFREESERVOC,GWE 5102,Ringfeder Germany,Khớp nối servo,Backlash-free Servo Couplings GWE,,,,,,
RF-BACKLASHFREESERVOC-2,GWE 5103.1,Ringfeder Germany,Khớp nối servo,Backlash-free Servo Couplings GWE,,,,,,
RF-BACKLASHFREESERVOC-3,GWE 5104,Ringfeder Germany,Khớp nối servo,Backlash-free Servo Couplings GWE,,,,,,
RF-BACKLASHFREESERVOC-4,GWE 5106,Ringfeder Germany,Khớp nối servo,Backlash-free Servo Couplings GWE,,,,,,
RF-BACKLASHFREESERVOC-5,GWE 5112,Ringfeder Germany,Khớp nối servo,Backlash-free Servo Couplings GWE,,,,,,
RF-BACKLASHFREESERVOC-6,GWE 5113,Ringfeder Germany,Khớp nối servo,Backlash-free Servo Couplings GWE,,,,,,
RF-BACKLASHFREESERVOC-7,GWE 5117,Ringfeder Germany,Khớp nối servo,Backlash-free Servo Couplings GWE,,,,,,
RF-BACKLASHFREESERVOC-8,GWE Z5104.1,Ringfeder Germany,Khớp nối servo,Backlash-free Servo Couplings GWE,,,,,,
RF-BACKLASHFREESERVOC-9,GWE Z5106.1,Ringfeder Germany,Khớp nối servo,Backlash-free Servo Couplings GWE,,,,,,
RF-BARRELCOUPLINGSTNK,Barrel Couplings TNK TKVO,Ringfeder Germany,Khớp nối tang cuốn cáp,Barrel Couplings TNK TKVO,,,,,,
RF-LOCKINGASSEMBLIESR,RfN 7003,Ringfeder Germany,Khớp khoá trục,Locking Assemblies RfN,,,,,,
RF-LOCKINGASSEMBLIESR-2,RfN 7004,Ringfeder Germany,Khớp khoá trục,Locking Assemblies RfN,,,,,,
RF-LOCKINGASSEMBLIESR-3,RfN 7005,Ringfeder Germany,Khớp khoá trục,Locking Assemblies RfN,,,,,,
RF-LOCKINGASSEMBLIESR-4,RfN 7006,Ringfeder Germany,Khớp khoá trục,Locking Assemblies RfN,,,,,,
RF-LOCKINGASSEMBLIESR-5,RfN 7012,Ringfeder Germany,Khớp khoá trục,Locking Assemblies RfN,,,,,,
RF-LOCKINGASSEMBLIESR-6,RfN 7012.2,Ringfeder Germany,Khớp khoá trục,Locking Assemblies RfN,,,,,,
RF-LOCKINGASSEMBLIESR-7,RfN 7013.0,Ringfeder Germany,Khớp khoá trục,Locking Assemblies RfN,,,,,,
RF-LOCKINGASSEMBLIESR-8,RfN 7013.1,Ringfeder Germany,Khớp khoá trục,Locking Assemblies RfN,,,,,,
RF-LOCKINGASSEMBLIESR-9,RfN 7007,Ringfeder Germany,Khớp khoá trục,Locking Assemblies RfN,,,,,,
RF-LOCKINGASSEMBLIESR-10,RfN 7110,Ringfeder Germany,Khớp khoá trục,Locking Assemblies RfN,,,,,,
RF-LOCKINGASSEMBLIESR-11,RfN 7515,Ringfeder Germany,Khớp khoá trục,Locking Assemblies RfN,,,,,,
RF-LOCKINGASSEMBLIESR-12,RfN 7061,Ringfeder Germany,Khớp khoá trục,Locking Assemblies RfN,,,,,,
RF-LOCKINGASSEMBLIESR-13,RfN 7015.0,Ringfeder Germany,Khớp khoá trục,Locking Assemblies RfN,,,,,,
RF-LOCKINGASSEMBLIESR-14,RfN 7015.1,Ringfeder Germany,Khớp khoá trục,Locking Assemblies RfN,,,,,,
RF-LOCKINGASSEMBLIESR-15,RfN 7012 SST,Ringfeder Germany,Khớp khoá trục,Locking Assemblies RfN,,,,,,
RF-LOCKINGASSEMBLIESR-16,RfN 7013.1 SST,Ringfeder Germany,Khớp khoá trục,Locking Assemblies RfN,,,,,,
RF-LOCKINGASSEMBLIESR-17,RfN 7061 SST,Ringfeder Germany,Khớp khoá trục,Locking Assemblies RfN,,,,,,
RF-LOCKINGASSEMBLIESR-18,RfN 7110 SST,Ringfeder Germany,Khớp khoá trục,Locking Assemblies RfN,,,,,,
RF-LOCKINGASSEMBLIESR-19,RfN 8006,Ringfeder Germany,Khớp khoá trục,Locking Assemblies RfN,,,,,,
RF-SHRINKDISCSRFN,RfN 4051,Ringfeder Germany,Thiết bị bóp trục,Shrink Discs RfN,,,,,,
RF-SHRINKDISCSRFN-2,RfN 4071,Ringfeder Germany,Thiết bị bóp trục,Shrink Discs RfN,,,,,,
RF-SHRINKDISCSRFN-3,RfN 4073,Ringfeder Germany,Thiết bị bóp trục,Shrink Discs RfN,,,,,,
RF-SHRINKDISCSRFN-4,Safety Covers,Ringfeder Germany,Thiết bị bóp trục,Shrink Discs RfN,,,,,,
RF-SHRINKDISCSRFN-5,RfN 4061,Ringfeder Germany,Thiết bị bóp trục,Shrink Discs RfN,,,,,,
RF-SHRINKDISCSRFN-6,RfN 4061 SST,Ringfeder Germany,Thiết bị bóp trục,Shrink Discs RfN,,,,,,
RF-SHRINKDISCSRFN-7,RfN 4161,Ringfeder Germany,Thiết bị bóp trục,Shrink Discs RfN,,,,,,
RF-SHRINKDISCSRFN-8,RfN 4181,Ringfeder Germany,Thiết bị bóp trục,Shrink Discs RfN,,,,,,
RF-SHRINKDISCSRFN-9,RfN 4091,Ringfeder Germany,Thiết bị bóp trục,Shrink Discs RfN,,,,,,
RF-SHOCKABSORBINGELEM,Shock Absorbing Elements DEFORM plus,Ringfeder Germany,Shock Absorbing Elements,Shock Absorbing Elements DEFORM plus,,,,,,
RF-SHOCKABSORBINGELEM-2,Shock Absorbing Elements DEFORM plus R/RMP,Ringfeder Germany,Shock Absorbing Elements,Shock Absorbing Elements DEFORM plus R/RMP,,,,,,
RF-SHOCKABSORBINGELEM-3,Shock Absorbing Elements DEFORM plus R,Ringfeder Germany,Shock Absorbing Elements,Shock Absorbing Elements DEFORM plus R,,,,,,
RA-L,L,Rathi-Ringfeder India,Cao su giảm chấn,L,,,,,,
RA-RB,RB,Rathi-Ringfeder India,Cao su giảm chấn,RB,,,,,,
RA-L-2,L,Rathi-Ringfeder India,Khớp nối linh hoạt,L,,,,,,
RA-SW,SW,Rathi-Ringfeder India,Khớp nối linh hoạt,SW,,,,,,
RA-RRL,RRL,Rathi-Ringfeder India,Khớp nối linh hoạt,RRL,,,,,,
RA-RRS,RRS,Rathi-Ringfeder India,Khớp nối linh hoạt,RRS,,,,,,
RA-SWQ,SWQ,Rathi-Ringfeder India,Khớp nối linh hoạt,SWQ,,,,,,
RA-SWS,SWS,Rathi-Ringfeder India,Khớp nối linh hoạt,SWS,,,,,,
RA-HHR,H/HR,Rathi-Ringfeder India,Khớp nối linh hoạt,H/HR,,,,,,
RA-RRJ,RRJ,Rathi-Ringfeder India,Khớp nối linh hoạt,RRJ,,,,,,
RA-RFC,RFC,Rathi-Ringfeder India,Khớp nối linh hoạt,RFC,,,,,,
RA-RNRNSABH,RN / RNS A / B / H,Rathi-Ringfeder India,Khớp nối linh hoạt,RN / RNS A / B / H,,,,,,
RA-BFLEXRB,B-FLEX: RB,Rathi-Ringfeder India,Khớp nối bulong đai ốc,B-FLEX: RB,,,,,,
RA-BFLEXLBC,B-FLEX: LBC,Rathi-Ringfeder India,Khớp nối bulong đai ốc,B-FLEX: LBC,,,,,,
RA-CONEFLEXRCRCT,CONE-FLEX: RC / RCT,Rathi-Ringfeder India,Khớp nối bulong đai ốc,CONE-FLEX: RC / RCT,,,,,,
RA-LFG,LFG,Rathi-Ringfeder India,Khớp nối răng,LFG,,,,,,
RA-LHG,LHG,Rathi-Ringfeder India,Khớp nối răng,LHG,,,,,,
RA-RGD,RGD,Rathi-Ringfeder India,Khớp nối răng,RGD,,,,,,
RA-RGS,RGS,Rathi-Ringfeder India,Khớp nối răng,RGS,,,,,,
RA-RSK,RSK,Rathi-Ringfeder India,Khớp nối đĩa,RSK,,,,,,
RA-RLM,RLM,Rathi-Ringfeder India,Khớp nối đĩa,RLM,,,,,,
RA-REMH,REMH,Rathi-Ringfeder India,Khớp nối đĩa,REMH,,,,,,
RA-REM,REM,Rathi-Ringfeder India,Khớp nối đĩa,REM,,,,,,
RA-LFG-2,LFG,Rathi-Ringfeder India,Khớp nối lưới lò xo,LFG,,,,,,
RA-RJB,RJB,Rathi-Ringfeder India,Khớp nối servo,RJB,,,,,,
RA-RR,RR,Rathi-Ringfeder India,Khớp nối cứng,RR,,,,,,
RA-RGR,RGR,Rathi-Ringfeder India,Khớp nối cứng,RGR,,,,,,
RA-TTO,T / TO,Rathi-Ringfeder India,Khớp nối bánh xe,T / TO,,,,,,
RA-RST,RST,Rathi-Ringfeder India,Khớp nối bánh xe,RST,,,,,,
WES-ROTOFLEXIGGN,ROTOFLEXI G-GN,Westcar Italy,Khớp nối linh hoạt,ROTOFLEXI G-GN,,,,,,
WES-ROTOFLEXID,ROTOFLEXI D,Westcar Italy,Khớp nối linh hoạt,ROTOFLEXI D,,,,,,
WES-ROTOFLEXIDF,ROTOFLEXI DF,Westcar Italy,Khớp nối linh hoạt,ROTOFLEXI DF,,,,,,
WES-ROTOPINEEP,ROTOPIN E/EP,Westcar Italy,Khớp nối bulong đai ốc,ROTOPIN E/EP,,,,,,
WES-ROTODISCHNHNS,ROTODISC HN / HNS,Westcar Italy,Khớp nối đĩa,ROTODISC HN / HNS,,,,,,
WES-ROTOGRIDTH,ROTOGRID TH,Westcar Italy,Khớp nối lưới lò xo,ROTOGRID TH,,,,,,
WES-ROTOGEARAR,ROTOGEAR AR,Westcar Italy,Khớp nối răng,ROTOGEAR AR,,,,,,
WES-ROTOGEARREFO,ROTOGEAR RE/FO,Westcar Italy,Khớp nối răng,ROTOGEAR RE/FO,,,,,,
WES-ROTOFLUIDCAK,ROTOFLUID CA-K,Westcar Italy,Khớp nối thuỷ lực,ROTOFLUID CA-K,,,,,,
WES-ROTOMECCAKA,ROTOMEC CA KA,Westcar Italy,Khớp nối thuỷ lực,ROTOMEC CA KA,,,,,,
WES-ROTOMECCAKS,ROTOMEC CA K-S,Westcar Italy,Khớp nối thuỷ lực,ROTOMEC CA K-S,,,,,,
WES-KDA,KDA,Westcar Italy,Khớp nối thuỷ lực,KDA,,,,,,
WES-ROTOMEC,ROTOMEC,Westcar Italy,Khớp nối thuỷ lực,ROTOMEC,,,,,,
WES-ROTOMECSCFWITHSING,ROTOMEC SCF with Single Delay Chamber,Westcar Italy,Khớp nối thuỷ lực,ROTOMEC SCF with Single Delay Chamber,,,,,,
WES-ROTOMECDCFWITHDOUB,ROTOMEC DCF with Double Delay Chamber,Westcar Italy,Khớp nối thuỷ lực,ROTOMEC DCF with Double Delay Chamber,,,,,,
WES-ROTOMECCAWITHANNUL,ROTOMEC CA with Annular Chamber,Westcar Italy,Khớp nối thuỷ lực,ROTOMEC CA with Annular Chamber,,,,,,
WES-ROTOMECCAKWITHGEAR,ROTOMEC CA K with Gear Coupling,Westcar Italy,Khớp nối thuỷ lực,ROTOMEC CA K with Gear Coupling,,,,,,
WES-ROTOMECCAKWITHBRAK,ROTOMEC CA K with Brake Drum,Westcar Italy,Khớp nối thuỷ lực,ROTOMEC CA K with Brake Drum,,,,,,
WES-ROTOMECCAKWITHDISC,ROTOMEC CA K with Disc Coupling,Westcar Italy,Khớp nối thuỷ lực,ROTOMEC CA K with Disc Coupling,,,,,,
WES-ROTOMECCAKWITHBRAK-2,ROTOMEC CA K with Brake Disc,Westcar Italy,Khớp nối thuỷ lực,ROTOMEC CA K with Brake Disc,,,,,,
WES-ROTOMECCAKWITHSTAN,ROTOMEC CA K with Standard Pulleys,Westcar Italy,Khớp nối thuỷ lực,ROTOMEC CA K with Standard Pulleys,,,,,,
WES-ROTOMECCAKWITHBELL,ROTOMEC CA K with Bellhousing,Westcar Italy,Khớp nối thuỷ lực,ROTOMEC CA K with Bellhousing,,,,,,
WES-THRUSTERBRAKES,Westcar CD Disc Brakes,Westcar Italy,Phanh công nghiệp,Thruster brakes,,,,,,
WES-THRUSTERBRAKES-2,Westcar BD Drum Brakes,Westcar Italy,Phanh công nghiệp,Thruster brakes,,,,,,
WC-KEHRC,KE (HRC),Cross+Morse UK,Cao su giảm chấn,KE (HRC),,,,,,
WC-GF,GF,Cross+Morse UK,Cao su giảm chấn,GF,,,,,,
WC-LBUNA,L (BUNA),Cross+Morse UK,Cao su giảm chấn,L (BUNA),,,,,,
WC-L,L,Cross+Morse UK,Khớp nối linh hoạt,L,,,,,,
WC-KEHRC-2,KE (HRC),Cross+Morse UK,Khớp nối linh hoạt,KE (HRC),,,,,,
WC-GF-2,GF,Cross+Morse UK,Khớp nối răng,GF,,,,,,
WC-GFA,GFA,Cross+Morse UK,Khớp nối răng,GFA,,,,,,
WC-CS,CS,Cross+Morse UK,Khớp nối bảo vệ quá tải,CS,,,,,,
WC-STANDARDMODEL,Standard Model,Cross+Morse UK,Khớp nối bảo vệ quá tải,Standard Model,,,,,,
WC-MODEL200,Model 200,Cross+Morse UK,Khớp nối bảo vệ quá tải,Model 200,,,,,,
WC-MODEL250,Model 250,Cross+Morse UK,Khớp nối bảo vệ quá tải,Model 250,,,,,,
WC-MODEL350,Model 350,Cross+Morse UK,Khớp nối bảo vệ quá tải,Model 350,,,,,,
WC-MODEL500,Model 500,Cross+Morse UK,Khớp nối bảo vệ quá tải,Model 500,,,,,,
WC-MODEL700,Model 700,Cross+Morse UK,Khớp nối bảo vệ quá tải,Model 700,,,,,,
WC-LNC,LNC,Cross+Morse UK,Khớp nối xích,LNC,,,,,,
WC-LRC,LRC,Cross+Morse UK,Khớp nối xích,LRC,,,,,,
WC-TYPEB200B500,Type B200 & B500,Cross+Morse UK,Vòng bi chống quay ngược,Type B200 & B500,,,,,,
WC-WEDGEBELTSPULLEYSS,Wedge Belts Pulleys SPA,Cross+Morse UK,Puly - Ống lót côn,Wedge Belts Pulleys SPA,,,,,,
WC-WEDGEBELTSPULLEYSS-2,Wedge Belts Pulleys SPB,Cross+Morse UK,Puly - Ống lót côn,Wedge Belts Pulleys SPB,,,,,,
WC-WEDGEBELTSPULLEYSS-3,Wedge Belts Pulleys SPC,Cross+Morse UK,Puly - Ống lót côn,Wedge Belts Pulleys SPC,,,,,,
WC-WEDGEBELTSPULLEYSS-4,Wedge Belts Pulleys SPZ,Cross+Morse UK,Puly - Ống lót côn,Wedge Belts Pulleys SPZ,,,,,,
WC-TIMINGPULLEYS,Timing Pulleys,Cross+Morse UK,Puly - Ống lót côn,Timing Pulleys,,,,,,
WC-TAPERBUSHES,Taper Bushes,Cross+Morse UK,Puly - Ống lót côn,Taper Bushes,,,,,,
WC-XICHBUOCDOICROSSMO,Xích bước đôi Cross+Morse,Cross+Morse UK,Xích - nhông công nghiệp,Xích bước đôi Cross+Morse,,,,,,
WC-XICHBANGTAICROSSMO,Xích băng tải Cross+Morse,Cross+Morse UK,Xích - nhông công nghiệp,Xích băng tải Cross+Morse,,,,,,
WC-NHONGCROSSMORSETBK,Nhông Cross+Morse TB (không cùi),Cross+Morse UK,Xích - nhông công nghiệp,Nhông Cross+Morse TB (không cùi),,,,,,
WC-NHONGCROSSMORSETBC,Nhông Cross+Morse TB (có cùi),Cross+Morse UK,Xích - nhông công nghiệp,Nhông Cross+Morse TB (có cùi),,,,,,
WC-XICHTIEUCHUANCROSS,Xích tiêu chuẩn Cross+Morse BS Standard,Cross+Morse UK,Xích - nhông công nghiệp,Xích tiêu chuẩn Cross+Morse BS Standard,,,,,,
WC-XICHTRUYENDONGCROS,Xích truyền động Cross+Morse Inverted SC,Cross+Morse UK,Xích - nhông công nghiệp,Xích truyền động Cross+Morse Inverted SC,,,,,,
WC-NHONGXICHCROSSMORS,Nhông xích Cross+Morse HC/SC,Cross+Morse UK,Xích - nhông công nghiệp,Nhông xích Cross+Morse HC/SC,,,,,,
WC-XICHTRUYENDONGCROS-2,Xích truyền động Cross+Morse Inverted HC,Cross+Morse UK,Xích - nhông công nghiệp,Xích truyền động Cross+Morse Inverted HC,,,,,,
WC-MODEL350-2,Model 350,Cross+Morse UK,Xích - nhông công nghiệp,Model 350,,,,,,
WC-MODEL500-2,Model 500,Cross+Morse UK,Xích - nhông công nghiệp,Model 500,,,,,,
WC-MODEL700-2,Model 700,Cross+Morse UK,Xích - nhông công nghiệp,Model 700,,,,,,
JAC-JACCA,JAC CA,JAC Korea,Cao su giảm chấn,JAC CA,,,,,,
JAC-JACCR,JAC CR,JAC Korea,Cao su giảm chấn,JAC CR,,,,,,
JAC-JACCR-2,JAC CR,JAC Korea,Khớp nối linh hoạt,JAC CR,,,,,,
JAC-GDS,GDS,JAC Korea,Khớp nối răng,GDS,,,,,,
JAC-SAM,SAM,JAC Korea,Khớp nối răng,SAM,,,,,,
JAC-GSGSL,GS-GSL,JAC Korea,Khớp nối răng,GS-GSL,,,,,,
JAC-GDGDL,GD-GDL,JAC Korea,Khớp nối răng,GD-GDL,,,,,,
JAC-SSMCCM,SSM/CCM,JAC Korea,Khớp nối răng,SSM/CCM,,,,,,
JAC-SEMCEM,SEM-CEM,JAC Korea,Khớp nối răng,SEM-CEM,,,,,,
JAC-GDBWGSBW,GDBW/GSBW,JAC Korea,Khớp nối răng,GDBW/GSBW,,,,,,
JAC-SSMBSEMB,SSMB/SEMB,JAC Korea,Khớp nối răng,SSMB/SEMB,,,,,,
JAC-JACCA-2,JAC CA,JAC Korea,Khớp nối bánh xe,JAC CA,,,,,,
MAR-ML,ML,Martin USA,Cao su giảm chấn,ML,,,,,,
MAR-GOFLEXGF,GO-FLEX (GF),Martin USA,Cao su giảm chấn,GO-FLEX (GF),,,,,,
MAR-HRC,HRC,Martin USA,Cao su giảm chấn,HRC,,,,,,
MAR-ML-2,ML,Martin USA,Khớp nối linh hoạt,ML,,,,,,
MAR-GOFLEXGF-2,GO-FLEX (GF),Martin USA,Khớp nối linh hoạt,GO-FLEX (GF),,,,,,
MAR-HRC-2,HRC,Martin USA,Khớp nối linh hoạt,HRC,,,,,,
MAR-MARTINFLEXF,Martin-Flex (F),Martin USA,Khớp nối bánh xe,Martin-Flex (F),,,,,,
MAR-FHPSHEAVES,FHP Sheaves,Martin USA,Puly - Ống lót côn,FHP Sheaves,,,,,,
MAR-MSTSHEAVES,MST Sheaves,Martin USA,Puly - Ống lót côn,MST Sheaves,,,,,,
MAR-QDSHEAVES,QD Sheaves,Martin USA,Puly - Ống lót côn,QD Sheaves,,,,,,
MAR-WEDGEBELTSPULLEYSS,Wedge Belts Pulleys SPA,Martin USA,Puly - Ống lót côn,Wedge Belts Pulleys SPA,,,,,,
MAR-WEDGEBELTSPULLEYSS-2,Wedge Belts Pulleys SPB,Martin USA,Puly - Ống lót côn,Wedge Belts Pulleys SPB,,,,,,
MAR-WEDGEBELTSPULLEYSS-3,Wedge Belts Pulleys SPC,Martin USA,Puly - Ống lót côn,Wedge Belts Pulleys SPC,,,,,,
MAR-WEDGEBELTSPULLEYSS-4,Wedge Belts Pulleys SPZ,Martin USA,Puly - Ống lót côn,Wedge Belts Pulleys SPZ,,,,,,
MAR-CLASSICALTIMINGPUL,Classical Timing Pulleys,Martin USA,Puly - Ống lót côn,Classical Timing Pulleys,,,,,,
MAR-SYNCHRONOUSSPROCKE,Synchronous Sprocket MBC,Martin USA,Puly - Ống lót côn,Synchronous Sprocket MBC,,,,,,
MAR-HIGHTORQUESPROCKET,High Torque Sprocket HTS,Martin USA,Puly - Ống lót côn,High Torque Sprocket HTS,,,,,,
MAR-ONGLOTCONTBBUSHING,Ống lót côn TB Bushings,Martin USA,Puly - Ống lót côn,Ống lót côn TB Bushings,,,,,,
FL-CAOSUNEUPEX,Cao su N-Eupex,Flender Germany,Cao su giảm chấn,Cao su N-Eupex,,,,,,
FL-CAOSUNEUPEXDS,Cao su N-Eupex DS,Flender Germany,Cao su giảm chấn,Cao su N-Eupex DS,,,,,,
FL-CAOSURUPEX,Cao su Rupex,Flender Germany,Cao su giảm chấn,Cao su Rupex,,,,,,
FL-DIATHEPRADEXN,Đĩa thép Radex-N,Flender Germany,Cao su giảm chấn,Đĩa thép Radex-N,,,,,,
FL-NEUPEXA,N-Eupex A,Flender Germany,Khớp nối linh hoạt,N-Eupex A,,,,,,
FL-NEUPEXB,N-Eupex B,Flender Germany,Khớp nối linh hoạt,N-Eupex B,,,,,,
FL-NEUPEXH,N-Eupex H,Flender Germany,Khớp nối linh hoạt,N-Eupex H,,,,,,
FL-NEUPEXE,N-Eupex E,Flender Germany,Khớp nối linh hoạt,N-Eupex E,,,,,,
FL-NEUPEXDSADS,N-Eupex DS-ADS,Flender Germany,Khớp nối linh hoạt,N-Eupex DS-ADS,,,,,,
FL-NEUPEXDSBDS,N-Eupex DS-BDS,Flender Germany,Khớp nối linh hoạt,N-Eupex DS-BDS,,,,,,
FL-NEUPEXDSHDS,N-Eupex DS-HDS,Flender Germany,Khớp nối linh hoạt,N-Eupex DS-HDS,,,,,,
FL-RUPEXRWS,RUPEX RWS,Flender Germany,Khớp nối bulong đai ốc,RUPEX RWS,,,,,,
FL-RUPEXRWN,RUPEX RWN,Flender Germany,Khớp nối bulong đai ốc,RUPEX RWN,,,,,,
FL-NARPEXTYPENEN,N-Arpex Type NEN,Flender Germany,Khớp nối đĩa,N-Arpex Type NEN,,,,,,
